"Group","Optimization type","Notes"
"PL 6 THK, PL 8 THK, PL 10 THK, PL 12 THK","2D","Primary MVP focus."
"CHQ.PL by thickness","2D","Rotation may be restricted."
"MS Plate","2D","Plain plate family."
"SS Plate","2D","May require different cost and constraints."
"ISMC","1D","Profile cutting by length."
"ISMB","1D","Profile cutting by length."
"Pipe","1D","Length optimization in MVP, future tube nesting later."
"Flat","1D","Bar optimization."
"Angle","1D","Profile cutting."
"Round Bar","1D","Bar cutting."
