"Input type","MVP support","Notes"
"Excel (.xlsx, .xls)","Yes","Primary input for planners and BOM exports."
"CSV","Yes","Lightweight and ERP-friendly."
"Manual entry","Yes","Useful for pilots and small jobs."
"JSON/API","Yes","Supports integrations and automation."
"ERP export","Yes","SAP/Tally/custom ERP adapters should map to canonical import schema."
"AutoCAD BOM","Yes","Via exported table formats, not direct DWG parsing in MVP."
"SolidWorks BOM","Yes","Via Excel/CSV export in MVP."
"Tekla BOM","Yes","Via report export in MVP."
"PDF","Partial","Table extraction/OCR helper only."
"Image","Partial","OCR helper only."
