"Output","MVP","Purpose"
"Excel","Yes","Planner-friendly detailed reports."
"PDF","Yes","Shareable management and production packets."
"CSV","Yes","Simple downstream data exchange."
"JSON","Yes","API and system interoperability."
"DXF","Future","Machine/CAD workflow output."
"Printable cut layout","Yes","Shop-floor visual reference."
"Purchase list","Yes","Procurement decision support."
"Scrap report","Yes","Waste measurement."
"Material summary","Yes","Group-level totals."
"Thickness summary","Yes","Plate planning by thickness."
"Weight summary","Yes","Costing and logistics support."
